VY For,  03 32 04.6,  -25 56 56,  VY For,  03 32 04.61,  -25 56 55.0
LX Ser,  15 38 00.1,  +18 52 03,  LX Ser,  15 38 00.09,  +18 52 03.3
IP Peg,  23 23 08.6,  +18 24 59,  IP Peg,  23 23 08.53,  +18 24 59.2
V382 Vel,  10 44 48.4,  -52 25 31,  V382 Vel,  10 44 48.40,  -52 25 31.1
V523 Lyr,  19 21 07.5,  +37 47 57,  V523 Lyr,  19 21 07.53,  +37 47 56.8
V811 Cyg,  19 48 23.3,  +36 26 23,  V811 Cyg,  19 48 23.30,  +36 26 23.2
V1493 Aql,  19 07 36.9,  +12 31 27,  V1493 Aql,  19 07 36.91,  +12 31 26.7
SV CMi,  07 31 08.4,  +05 58 49,  SV CMi,  07 31 08.40,  +05 58 48.3
BH Lyn,  08 22 36.0,  +51 05 25,  BH Lyn,  08 22 36.04,  +51 05 24.6
V447 Lyr,  19 00 19.9,  +44 27 45,  V447 Lyr,  19 00 19.92,  +44 27 44.9
OY Ara,  16 40 50.3,  -52 25 51,  OY Ara,  16 40 50.27,  -52 25 51.3
GS Pav,  20 08 07.6,  -69 48 58,  GS Pav,  20 08 07.61,  -69 48 58.6
IW And,  01 01 08.9,  +43 23 26,  IW And,  01 01 08.91,  +43 23 25.8
PY Per,  02 50 00.1,  +37 39 23,  PY Per,  02 50 00.,  +37 39 22.
QQ Vul,  20 05 41.9,  +22 39 59,  QQ Vul,  20 05 41.91,  +22 39 58.9
V380 Oph,  17 50 13.7,  +06 05 29,  V380 Oph,  17 50 13.64,  +06 05 29.3
BB Dor,  05 29 28.7,  -58 54 46,  BB Dor,  05 29 28.59,  -58 54 46.3
V373 Sct,  18 55 26.7,  -07 43 06,  V373 Sct,  18 55 26.71,  -07 43 05.5
WY Sge,  19 32 43.8,  +17 44 55,  WY Sge,  19 32 43.88,  +17 44 54.7
V992 Sco,  17 07 17.5,  -43 15 22,  V992 Sco,  17 07 17.44,  -43 15 21.6
V4579 Sgr,  18 03 37.9,  -28 00 09,  V4579 Sgr,  18 03 37.84,  -28 00 07.5
BZ Cam,  06 29 34.0,  +71 04 37,  BZ Cam,  06 29 34.00,  +71 04 34.3
V794 Aql,  20 17 34.0,  -03 39 51,  V794 Aql,  20 17 33.92,  -03 39 50.8
BP Lyn,  09 03 08.9,  +41 17 48,  BP Lyn,  09 03 08.89,  +41 17 47.6
AB Dra,  19 49 06.5,  +77 44 24,  AB Dra,  19 49 06.51,  +77 44 22.9
V999 Sgr,  18 00 05.6,  -27 33 14,  V999 Sgr,  18 00 05.59,  -27 33 14.0
LX And,  02 19 44.1,  +40 27 22,  LX And,  02 19 44.09,  +40 27 22.3
V5113 Sgr,  18 10 10.4,  -27 45 33,  V5113 Sgr,  18 10 10.42,  -27 45 35.2
EF Tuc,  00 01 55.0,  -67 07 44,  EF Tuc,  00 01 55.10,  -67 07 43.3
LU Cam,  05 58 18.0,  +67 53 46,  LU Cam,  05 58 17.88,  +67 53 46.4
AO Psc,  22 55 18.0,  -03 10 40,  AO Psc,  22 55 17.99,  -03 10 40.0
V425 Cas,  23 03 46.6,  +53 17 15,  V425 Cas,  23 03 46.66,  +53 17 14.8
V2574 Oph,  17 38 45.5,  -23 28 19,  V2574 Oph,  17 38 45.51,  -23 28 18.6
V533 Her,  18 14 20.5,  +41 51 23,  V533 Her,  18 14 20.48,  +41 51 22.1
PX And,  00 30 05.8,  +26 17 27,  PX And,  00 30 05.81,  +26 17 26.5
Leo 5,  10 28 00.1,  +21 48 14,  Leo5,  10 28 00.11,  +21 48 13.2
IM Eri,  04 24 41.1,  -20 07 12,  IM Eri,  04 24 41.11,  -20 07 11.8
V500 Aql,  19 52 28.0,  +08 28 46,  V500 Aql,  19 52 28.03,  +08 28 46.8
CP Lac,  22 15 41.2,  +55 37 02,  CP Lac,  22 15 41.09,  +55 37 01.3
RR Pic,  06 35 36.1,  -62 38 24,  RR Pic,  06 35 36.07,  -62 38 24.3
VZ Scl,  23 50 09.2,  -26 22 53,  VZ Scl,  23 50 09.24,  -26 22 52.7
V751 Cyg,  20 52 12.8,  +44 19 26,  V751 Cyg,  20 52 12.78,  +44 19 26.1
LN UMa,  10 04 34.7,  +66 29 15,  LN UMa,  10 04 34.63,  +66 29 14.5
V1101 Aql,  20 13 04.0,  +15 35 47,  V1101 Aql,  20 13 04.07,  +15 35 46.8
UU Col,  05 12 13.1,  -32 41 39,  UU Col,  05 12 13.22,  -32 41 39.8
V584 Lyr,  19 10 59.4,  +28 56 39,  V584 Lyr,  19 10 59.42,  +28 56 38.9
V909 Sgr,  18 25 52.3,  -35 01 27,  V909 Sgr,  18 25 52.3,  -35 01 26.9
LS Cam,  05 57 24.0,  +72 41 52,  LS Cam,  05 57 23.93,  +72 41 52.6
V2289 Cyg,  19 34 36.1,  +51 07 41,  V2289 Cyg,  19 34 36.20,  +51 07 42.4
V2400 Oph,  17 12 36.4,  -24 14 45,  V2400 Oph,  17 12 36.43,  -24 14 44.7
AQ Men,  05 07 53.6,  -79 51 24,  AQ Men,  05 07 53.76,  -79 51 23.2
MN Hya,  09 29 07.1,  -24 05 05,  MN Hya,  09 29 07.04,  -24 05 05.4
