Name, RAJ2000, DEJ2000, Type1, Type2, mag1, Orb.Per, Distance, 5%, 95%
J0139+3538, 01 39 35.6, +35 38 41, DN, SU,  nan, 0.060000, nan, nan, nan
J0640+4421, 06 40 21.1, +44 21 28, DN, SU,  nan, 0.060000, nan, nan, nan
J0646+4033, 06 46 08.2, +40 33 05, DN, SU,  nan, 0.060000, nan, nan, nan
J0911-7756, 09 11 51.8, -77 56 34, DN, SU,  nan, 0.060000, nan, nan, nan
J1036-6337, 10 36 19.8, -63 37 33, DN, SU, 20.58, 0.060000, 3131.98, 2113.63, 5115.30
J1051+6725, 10 51 22.9, +67 25 29, DN, SU, 17.86, 0.060000, 2683.96, 913.27, 2132.94
J1405-1902, 14 05 22.9, -19 02 09, DN, SU, 18.65, 0.060000, 1173.92, 326.88, 736.87
J1649+1402, 16 49 25.4, +14 02 44, DN, SU,  nan, 0.060000, nan, nan, nan
J1720+1838, 17 20 38.7, +18 38 02, DN, SU, 20.85, 0.060000, -1.09, 0.01, 0.01
J1734+4342, 17 34 32.5, +43 42 19, DN, SU, 20.09, 0.060000, 3445.89, 2268.63, 4620.90
J1953+1859, 19 53 27.2, +18 59 13, DN, SU,  nan, 0.060000, nan, nan, nan
J2210+3046, 22 10 25.2, +30 46 06, DN, SU, 19.57, 0.060000, 830.58, 305.73, 1266.49
J2247-3622, 22 47 39.7, -36 22 53, DN, SU, 20.39, 0.060000, 257.50, 65.96, 139.41
J1250+1549, 12 50 44.4, +15 49 58, DN, SU, 19.65, 0.060000, 353.15, 88.27, 174.36
J1743+5203, 17 43 48.6, +52 03 46, NL, AM, 18.22, 0.059950, 128.75, 4.79, 5.05
J1703+0908, 17 03 43.6, +09 08 35, DN, SU, 17.04, 0.059900, 191.51, 5.10, 5.21
J0826-0007, 08 26 54.7, -00 07 33, NL, IP, 15.52, 0.059793, 208.90, 4.00, 4.00
J2112+2421, 21 12 58.7, +24 21 46, DN, SU, 19.62, 0.059760, 988.44, 573.16, 3952.46
DY CMi, 07 47 27.6, +06 50 50, NL, IP, 16.70, 0.059712, 371.44, 12.97, 15.32
J1404-1027, 14 04 54.0, -10 27 02, DN, SU, 15.70, 0.059581, 550.19, 32.89, 36.75
J1714-2943, 17 14 42.6, -29 43 45, DN, SU, 19.48, 0.059579, 1693.09, 1049.78, 4365.33
V498 Hya, 08 45 55.1, +03 39 30, DN, SU, 20.46, 0.059400, 2910.99, 2178.93, 4739.55
J1751-2937, 17 51 23.5, -29 37 55, DN, SU, 20.83, 0.059400, 3211.03, 2670.93, 5000.16
J1044+2113, 10 44 11.4, +21 13 07, DN, SU, 20.20, 0.059300, -1.28, 0.02, 0.02
J0557-3630, 05 57 21.8, -36 30 56, DN, SU, 17.81, 0.059005, 146.07, 5.47, 5.37
J1324-1951, 13 24 39.9, -19 51 29, DN, SU, 19.67, 0.059000, 629.96, 172.71, 447.63
J1340-3505, 13 40 15.0, -35 05 12, DN, SU,  nan, 0.059000, nan, nan, nan
J1853+5945, 18 53 09.6, +59 45 07, DN,   , 18.46, 0.059000, 689.03, 136.76, 228.76
J2003-3928, 20 03 59.6, -39 28 31, DN, SU, 18.49, 0.059000, 676.19, 100.59, 141.71
J2052-0239, 20 52 52.7, -02 39 53, DN, SU, 19.70, 0.059000, 482.43, 139.01, 345.50
J0755+1435, 07 55 07.7, +14 35 48, DN, SU, 19.38, 0.058900, 2807.96, 1585.51, 4244.32
J2003-2849, 20 03 31.3, -28 49 41, DN, SU, 18.59, 0.058736, 477.05, 51.68, 70.24
J2109+1348, 21 09 50.4, +13 48 40, DN,   , 19.56, 0.058680, 357.84, 81.03, 156.67
J1729+0054, 17 29 29.5, +00 54 04, DN, SU, 18.42, 0.058650, 219.82, 21.90, 26.26
J0137+2203, 01 37 41.1, +22 03 12, DN, SU, 16.88, 0.058567, 204.87, 10.20, 10.59
J0752+5305, 07 52 55.0, +53 05 31, DN, SU,  nan, 0.058540, nan, nan, nan
J0921+2038, 09 21 22.8, +20 38 57, DN, SU,  nan, 0.058510, nan, nan, nan
J1112-3538, 11 12 17.4, -35 38 29, NL, AM, 18.00, 0.058500, 421.20, 24.84, 29.07
J1735+1547, 17 35 16.9, +15 47 08, DN, SU, 15.22, 0.058400, 738.85, 69.31, 86.86
J2230-1458, 22 30 03.0, -14 58 35, DN, SU, 17.49, 0.058300, 1119.13, 172.61, 245.09
J2154+2641, 21 54 57.7, +26 41 13, DN, SU,  nan, 0.058300, nan, nan, nan
J1706+1434, 17 06 09.7, +14 34 52, DN, SU, 18.14, 0.058261, 265.03, 16.98, 20.02
J1955+0045, 19 55 12.5, +00 45 37, DN, ZZ, 19.04, 0.058100, 248.00, 32.76, 44.62
IL Leo, 10 31 00.6, +20 28 32, DN, SU, 18.24, 0.058000, 351.02, 31.71, 38.17
J0732+0641, 07 32 08.1, +06 41 50, Na,   ,  nan, 0.058000, nan, nan, nan
J1723+3304, 17 23 26.0, +33 04 14, DN, SU,  nan, 0.058000, nan, nan, nan
